149.104.15.111:41635#HK 优选反代[154ms 32.92Mbps]
162.159.39.241:2087#JP 官方优选[155ms 91.22Mbps]
[2606:4700:4403::2fd5:3758]:443#SG 电信优选[156ms 108.36Mbps]
162.159.50.61:2087#SG 官方优选[158ms 59.45Mbps]
8.35.211.17:8443#SG 官方优选[159ms 72.98Mbps]
59.16.250.206:10780#KR 优选反代[159ms 31.96Mbps]
162.159.44.246:2087#JP 官方优选[159ms 46.19Mbps]
108.162.194.159:2087#SG 官方优选[160ms 88.06Mbps]
162.159.45.52:2087#JP 官方优选[162ms 38.23Mbps]
162.159.2.134:2053#SG 官方优选[164ms 115.33Mbps]
121.130.138.102:10034#KR 优选反代[167ms 26.43Mbps]
108.162.198.216:2053#JP 官方优选[167ms 51.47Mbps]
[2a06:98c1:3106::7e20:a309]:443#SG 电信优选[184ms 94.54Mbps]
[2803:f800:51::fcf3:59de]:443#SG 电信优选[184ms 100.41Mbps]
104.16.16.230:443#US 官方优选[189ms 58.80Mbps]
[2606:4700:57::edab:6a29]:443#JP 电信优选[191ms 115.82Mbps]
162.159.46.108:2087#SG 官方优选[192ms 78.13Mbps]
27.50.48.245:2087#US 官方优选[194ms 28.39Mbps]
162.159.198.1:443#US 官方优选[197ms 51.54Mbps]
104.17.141.205:8443#US 官方优选[200ms 46.79Mbps]
[2a06:98c1:50::a5d3:9df]:443#SG 电信优选[202ms 106.94Mbps]
[2606:4700::fb29:9578:f683]:443#US 电信优选[209ms 28.43Mbps]
[2606:4700::5c:4525:10ec:717f]:443#US 电信优选[209ms 32.60Mbps]
[2606:4700::5c:5eb2:9f1a:4d]:443#US 电信优选[211ms 42.99Mbps]
[2606:4700:4406::7b96:c395]:443#SG 电信优选[222ms 116.35Mbps]
[2606:4700:440f::d0ab:3915]:443#SG 电信优选[223ms 98.27Mbps]
121.140.34.163:12300#KR 优选反代[224ms 32.97Mbps]
162.159.48.9:2087#SG 官方优选[227ms 76.69Mbps]
[2803:f800:50::7d0b:8073]:443#SG 电信优选[227ms 62.17Mbps]
162.159.49.140:2087#SG 官方优选[232ms 74.80Mbps]
[2606:4700:90c0::c734:1594]:443#DE 电信优选[235ms 48.10Mbps]
172.64.52.127:443#JP 官方优选[235ms 127.11Mbps]
172.64.144.130:2087#SG 官方优选[237ms 77.24Mbps]
162.159.1.247:2087#SG 官方优选[237ms 84.94Mbps]
104.25.0.1:2083#DE 官方优选[243ms 42.49Mbps]
104.27.16.177:2096#DE 官方优选[244ms 33.14Mbps]
172.64.50.160:2087#SG 官方优选[244ms 65.54Mbps]
198.41.202.237:443#US 官方优选[245ms 32.45Mbps]
162.159.4.178:2087#SG 官方优选[245ms 130.76Mbps]
188.114.96.5:2053#NL 官方优选[250ms 30.84Mbps]
104.26.0.2:2096#DE 官方优选[250ms 29.42Mbps]
104.17.128.218:443#US 官方优选[254ms 56.48Mbps]
162.159.48.237:2087#SG 官方优选[256ms 104.69Mbps]
27.50.48.119:2087#US 官方优选[258ms 64.84Mbps]
104.16.0.2:2053#US 官方优选[270ms 39.56Mbps]
188.114.96.82:443#NL 官方优选[275ms 51.22Mbps]
104.26.5.137:443#DE 官方优选[279ms 59.33Mbps]
[2606:4700:0:73:f107:2295:1a8e:c2ea]:443#US 电信优选[290ms 53.04Mbps]
80.66.196.150:9447#US 优选反代[291ms 37.96Mbps]
104.24.0.2:2083#DE 官方优选[299ms 35.69Mbps]
[2606:4700:964a::f1d1:d64d]:443#DE 电信优选[306ms 46.32Mbps]
104.17.190.99:2087#US 官方优选[312ms 51.62Mbps]
188.114.99.93:2087#NL 官方优选[315ms 40.66Mbps]
69.63.215.92:52011#US 优选反代[335ms 33.29Mbps]
27.50.48.191:2087#US 官方优选[350ms 30.61Mbps]
103.21.244.216:2087#US 官方优选[356ms 26.94Mbps]
217.60.38.113:443#HK 优选反代[487ms 42.86Mbps]
151.245.90.96:8443#HK 优选反代[495ms 28.50Mbps]
